al1x,al1x2,al1x3,al1x4,al1y,al1y2,al1y3,al1y4,al2x,al2x2,al2x3,al2x4,al2y,al2y2,al2y3,al2y4,al3x,al3x2,al3x3,al3x4,al3y,al3y2,al3y3,al3y4,al4x,al4x2,al4x3,al4x4,al4y,al4y2,al4y3,al4y4,bl1x,bl1x2,bl1x3,bl1x4,bl1y,bl1y2,bl1y3,bl1y4,bl2x,bl2x2,bl2x3,bl2x4,bl2y,bl2y2,bl2y3,bl2y4,bl3x,bl3x2,bl3x3,bl3x4,bl3y,bl3y2,bl3y3,bl3y4,bl4x,bl4x2,bl4x3,bl4x4,bl4y,bl4y2,bl4y3,bl4y4,SCALE
1652.8749772521,1652.2365101701,1652.2365101701,1652.2365101701,2531.4256596906,2530.1704490214,2524.2019188947,2530.1704490214,3372.2271155596,3389.0787770244,3377.1417167711,3383.1102468978,2478.3592356688,2476.4536778815,2482.4222080082,2476.4536778815,1085.0642402184,1085.2261481387,1085.2261481387,1085.2261481387,2648.1717925387,2649.5410515543,2643.5725214277,2643.5725214277,3552.6529572339,3550.2290904439,3550.2290904439,3550.2290904439,1581.5366696997,1587.1426890111,1593.1112191378,1593.1112191378,1663.4882620564,1663.4882620564,1642.2616924477,1656.2565681078,2542.038944495,2536.7323020928,2547.3455868972,2537.8282648956,3372.2271155596,3377.5337579618,3377.5337579618,3384.3669199821,2494.2791628753,2488.9725204732,2499.5858052775,2496.1152564021,1079.7575978162,1074.450955414,1069.1443130118,1060.3564467718,2664.0917197452,2653.4784349409,2658.785077343,2645.0902867361,3557.959599636,3563.2662420382,3563.2662420382,3563.1369563829,1592.1499545041,1608.0698817107,1608.0698817107,1590.3470719714,0.0349052998
1796.154322111,1795.4812332097,1795.4812332097,1795.4812332097,2181.1872611465,2183.9957016758,2183.9957016758,2178.0271715492,3351.0005459509,3347.2990661379,3347.2990661379,3347.2990661379,2350.9998180164,2351.114545222,2351.114545222,2351.114545222,1382.2362147407,1383.652654471,1377.6841243444,1383.652654471,2085.6676979072,2082.5306895228,2082.5306895228,2082.5306895228,3552.6529572339,3556.1976205706,3556.1976205706,3550.2290904439,1480.7104640582,1485.6776768581,1485.6776768581,1485.6776768581,1796.154322111,1796.154322111,1796.154322111,1799.2725972284,2202.4138307552,2202.4138307552,2202.4138307552,2198.1651957341,3356.3071883531,3351.0005459509,3356.3071883531,3360.5309151287,2366.9197452229,2377.5330300273,2377.5330300273,2370.9762309215,1376.9295723385,1366.3162875341,1382.2362147407,1376.1835110799,2106.8942675159,2101.5876251137,2117.5075523203,2096.862175107,3563.2662420382,3568.5728844404,3557.959599636,3569.0959575963,1496.6303912648,1486.0171064604,1486.0171064604,1495.0030525576,
1769.6211101001,1765.6385825764,1765.6385825764,1759.6700524498,2547.3455868972,2548.0760394013,2548.0760394013,2554.044569528,3409.3736123749,3406.9843674044,3406.9843674044,3406.9843674044,2462.4393084622,2458.5480875016,2458.5480875016,2458.5480875016,1292.0232939036,1294.1247025713,1294.1247025713,1294.1247025713,2520.8123748863,2524.2019188947,2524.2019188947,2524.2019188947,3573.8795268426,3568.1346808238,3568.1346808238,3574.1032109505,1576.2300272975,1569.2370986312,1557.3000383779,1569.2370986312,1759.0078252957,1764.3144676979,1753.7011828935,1769.4775911616,2563.2655141037,2573.8787989081,2568.5721565059,2573.5822721757,3409.3736123749,3419.9868971793,3414.6802547771,3414.1619260489,2478.3592356688,2478.3592356688,2478.3592356688,2484.1972539754,1276.103366697,1281.4100090992,1276.103366697,1268.9214892394,2531.4256596906,2536.7323020928,2531.4256596906,2537.8282648956,3579.1861692448,3584.492811647,3589.7994540491,3592.9319624497,1576.2300272975,1576.2300272975,1570.9233848954,1584.388070758,
1642.2616924477,1640.2994499169,1640.2994499169,1646.2679800435,2414.6795268426,2416.7683766151,2416.7683766151,2410.7998464884,3361.6138307552,3365.2046565178,3365.2046565178,3365.2046565178,2457.1326660601,2458.5480875016,2458.5480875016,2458.5480875016,1100.9841674249,1097.163208392,1103.1317385186,1097.163208392,2319.1599636033,2321.2718945887,2321.2718945887,2321.2718945887,3542.0396724295,3544.2605603173,3538.2920301906,3544.2605603173,1512.5503184713,1509.5517973647,1515.5203274914,1515.5203274914,1642.2616924477,1636.9550500455,1647.5683348499,1644.3385656811,2430.5994540491,2425.292811647,2430.5994540491,2436.5252442685,3372.2271155596,3366.9204731574,3361.6138307552,3372.4489175554,2467.7459508644,2478.3592356688,2473.0525932666,2460.3612491219,1085.0642402184,1085.0642402184,1085.0642402184,1090.1514528386,2335.0798908098,2345.6931756142,2340.386533212,2335.2222236414,3557.959599636,3557.959599636,3547.3463148317,3557.1779551696,1523.1636032757,1507.2436760692,1512.5503184713,1512.8800561977,
