Csize
171.9789515765
182.204313486
190.4902168807
185.7558825309
173.9903770841
175.627731589
190.9499952087
173.2719346698
194.9731167528
203.2861448849
180.3709717791
206.8526135628
168.1973947388
177.8734573133
166.6633438261
191.4692291617
172.9952064874
191.8242659844
197.3932822549
172.9600991846
191.7511290759
170.2744895495
204.8223901467
185.0009724642
197.3194850061
191.667591608
202.0884932175
176.086600595
215.8048402861
193.0377048057
168.612677361
204.3184249684
193.2052982522
199.7921624634
184.930193218
193.6495111474
164.402198061
183.4303930403
179.8157187992
194.2225597794
194.0272426983
158.1280953704
185.1846400463
169.7392304791
188.8685738333
170.5562317297
184.9860289565
167.5449980263
175.2235014333
181.3108430795
176.664172356
184.5007292422
158.9250795472
189.9755103835
179.6622361291
175.2436096617
182.0308740567
197.7396957435
220.6968738042
174.4492320002
155.8571315486
161.2468770497
165.6605044278
173.683094378
162.4310259212
201.2231032281
171.7786392689
176.6772686927
188.9205677238
193.077363204
170.7214424409
168.6030275798
170.8133643909
164.3533167517
151.5757116547
160.4527543037
164.1899648135
164.7732436356
160.3186542767
173.2954282563
162.111605776
171.1008793347
179.7816807333
172.7095196618
171.0717951356
174.7028229985
197.8651846918
169.3607848782
159.2974747275
186.2992353869
160.3195388761
145.4975507448
199.7105974336
176.5695716605
176.0428950827
179.0769546143
176.2344899688
159.780175696
160.4215016194
173.9013408909
161.5261645003
186.5248192113
184.7180037492
151.5781196731
183.578979783
173.6938058246
178.5946298694
210.605298647
189.4941375922
177.4185472522
177.5542401122
180.0126232947
147.9293535319
160.5355752134
157.9697217884
161.4326710202
168.794973891
169.3327520272
168.9336932861
162.0558573736
202.781243214
175.8953588721
169.5118124068
159.2234650364
156.5770620609
139.6947256114
192.0073090777
181.0911523365
169.8009937715
159.4619561355
193.0103977416
170.1749207033
158.388498205
172.2557823281
